2025-10-25 02:17:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-25 02:17:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 02:47:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=802 Clouds=28
2025-10-25 02:47:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 03:17:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=802 Clouds=28
2025-10-25 03:17:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 03:47:44 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 03:47:44 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 04:17:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 04:17:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 04:47:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 04:47:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 05:17:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 05:17:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 05:47:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 05:47:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 06:17:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 06:17:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 06:47:47 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 06:47:47 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-25 07:17:47 | INFO | weather | Mode=weather_based Phase=dawn Base=overcast Main=clouds Wid=804 Clouds=100
2025-10-25 07:17:47 | INFO | weather | FogCandidate phase=dawn base=overcast target=fog_overcast rand=0.28<th=0.30
2025-10-25 07:17:47 | INFO | weather | Final phase=dawn instance=fog_overcast (mode=weather_based fog_applied=True)
